State,Description,Year,Value
Alabama,Gross domestic product (GDP),2017,216615.5
Alabama,Gross domestic product (GDP),2018,226263.8
Alabama,Gross domestic product (GDP),2019,234526.4
Alabama,Gross domestic product (GDP),2020,235118.3
Alabama,Gross domestic product (GDP),2021,257986.5
Alabama,Gross domestic product (GDP),2022,281569
Alabama,Personal income,2016,190871.8
Alabama,Personal income,2017,197963.8
Alabama,Personal income,2018,205674.2
Alabama,Personal income,2019,215165.8
Alabama,Personal income,2020,230872.6
Alabama,Personal income,2021,252791.9
Alabama,Personal income,2022,258362.2
Alabama,Disposable personal income,2016,172173.6
Alabama,Disposable personal income,2017,179134.7
Alabama,Disposable personal income,2018,187334.2
Alabama,Disposable personal income,2019,195208
Alabama,Disposable personal income,2020,210513.8
Alabama,Disposable personal income,2021,228206.2
Alabama,Disposable personal income,2022,229599.5
Alabama,Personal consumption expenditures,2016,157806.1
Alabama,Personal consumption expenditures,2017,163523.4
Alabama,Personal consumption expenditures,2018,169460.2
Alabama,Personal consumption expenditures,2019,176843.5
Alabama,Personal consumption expenditures,2020,175481.9
Alabama,Personal consumption expenditures,2021,197820.2
Alabama,Personal consumption expenditures,2022,215104.6
Alabama,Real per capita dollar statistics (constant 2017 dollars),2016,NA
Alabama,Real per capita dollar statistics (constant 2017 dollars),2017,NA
Alabama,Real per capita dollar statistics (constant 2017 dollars),2018,NA
Alabama,Real per capita dollar statistics (constant 2017 dollars),2019,NA
Alabama,Real per capita dollar statistics (constant 2017 dollars),2020,NA
Alabama,Real per capita dollar statistics (constant 2017 dollars),2021,NA
Alabama,Real per capita dollar statistics (constant 2017 dollars),2022,NA
Alabama,Real per capita personal income 4,2016,43577
Alabama,Real per capita personal income 4,2017,44472
Alabama,Real per capita personal income 4,2018,46441
Alabama,Real per capita personal income 4,2019,47123
Alabama,Real per capita personal income 4,2020,50207
Alabama,Real per capita personal income 4,2021,52290
Alabama,Real per capita personal income 4,2022,50053
Alabama,Real per capita PCE 5,2016,35951
Alabama,Real per capita PCE 5,2017,36649
Alabama,Real per capita PCE 5,2018,38186
Alabama,Real per capita PCE 5,2019,38658
Alabama,Real per capita PCE 5,2020,38059
Alabama,Real per capita PCE 5,2021,40827
Alabama,Real per capita PCE 5,2022,41618
Alabama,Per capita current dollar statistics,2016,NA
Alabama,Per capita current dollar statistics,2017,NA
Alabama,Per capita current dollar statistics,2018,NA
Alabama,Per capita current dollar statistics,2019,NA
Alabama,Per capita current dollar statistics,2020,NA
Alabama,Per capita current dollar statistics,2021,NA
Alabama,Per capita current dollar statistics,2022,NA
Alabama,Per capita personal income 6,2016,38712
Alabama,Per capita personal income 6,2017,39975
Alabama,Per capita personal income 6,2018,41330
Alabama,Per capita personal income 6,2019,43004
Alabama,Per capita personal income 6,2020,45887
Alabama,Per capita personal income 6,2021,50059
Alabama,Per capita personal income 6,2022,50916
Alabama,Per capita disposable personal income 7,2016,34919
Alabama,Per capita disposable personal income 7,2017,36173
Alabama,Per capita disposable personal income 7,2018,37645
Alabama,Per capita disposable personal income 7,2019,39015
Alabama,Per capita disposable personal income 7,2020,41840
Alabama,Per capita disposable personal income 7,2021,45191
Alabama,Per capita disposable personal income 7,2022,45248
Alabama,Per capita personal consumption expenditures (PCE) 8,2016,32005
Alabama,Per capita personal consumption expenditures (PCE) 8,2017,33020
Alabama,Per capita personal consumption expenditures (PCE) 8,2018,34053
Alabama,Per capita personal consumption expenditures (PCE) 8,2019,35345
Alabama,Per capita personal consumption expenditures (PCE) 8,2020,34878
Alabama,Per capita personal consumption expenditures (PCE) 8,2021,39174
Alabama,Per capita personal consumption expenditures (PCE) 8,2022,42391
Alabama,Price indexes,2016,NA
Alabama,Price indexes,2017,NA
Alabama,Price indexes,2018,NA
Alabama,Price indexes,2019,NA
Alabama,Price indexes,2020,NA
Alabama,Price indexes,2021,NA
Alabama,Price indexes,2022,NA
Alabama,Regional price parities (RPPs) 9,2016,90.58
Alabama,Regional price parities (RPPs) 9,2017,90.098
Alabama,Regional price parities (RPPs) 9,2018,87.388
Alabama,Regional price parities (RPPs) 9,2019,88.326
Alabama,Regional price parities (RPPs) 9,2020,87.581
Alabama,Regional price parities (RPPs) 9,2021,88.026
Alabama,Regional price parities (RPPs) 9,2022,87.776
Alabama,Implicit regional price deflator 10,2016,89.026
Alabama,Implicit regional price deflator 10,2017,90.098
Alabama,Implicit regional price deflator 10,2018,89.177
Alabama,Implicit regional price deflator 10,2019,91.429
Alabama,Implicit regional price deflator 10,2020,91.641
Alabama,Implicit regional price deflator 10,2021,95.949
Alabama,Implicit regional price deflator 10,2022,101.857
Alabama,Employment,2016,NA
Alabama,Employment,2017,NA
Alabama,Employment,2018,NA
Alabama,Employment,2019,NA
Alabama,Employment,2020,NA
Alabama,Employment,2021,NA
Alabama,Employment,2022,NA
Alabama,Total employment (number of jobs),2016,2619761
Alabama,Total employment (number of jobs),2017,2649222
Alabama,Total employment (number of jobs),2018,2692424
Alabama,Total employment (number of jobs),2019,2712086
Alabama,Total employment (number of jobs),2020,2671005
Alabama,Total employment (number of jobs),2021,2769464
Alabama,Total employment (number of jobs),2022,2869931
Alaska,Real dollar statistics,2016,NA
Alaska,Real dollar statistics,2017,NA
Alaska,Real dollar statistics,2018,NA
Alaska,Real dollar statistics,2019,NA
Alaska,Real dollar statistics,2020,NA
Alaska,Real dollar statistics,2021,NA
Alaska,Real dollar statistics,2022,NA
Alaska,Real GDP (millions of chained 2017 dollars) 1,2016,NA
Alaska,Real GDP (millions of chained 2017 dollars) 1,2017,53550.9
Alaska,Real GDP (millions of chained 2017 dollars) 1,2018,52479.6
Alaska,Real GDP (millions of chained 2017 dollars) 1,2019,52325.3
Alaska,Real GDP (millions of chained 2017 dollars) 1,2020,50344.6
Alaska,Real GDP (millions of chained 2017 dollars) 1,2021,51021.8
Alaska,Real GDP (millions of chained 2017 dollars) 1,2022,50315.1
Alaska,Real personal income (millions of constant (2017) dollars) 2,2016,40448.3
Alaska,Real personal income (millions of constant (2017) dollars) 2,2017,40068.6
Alaska,Real personal income (millions of constant (2017) dollars) 2,2018,40876.8
Alaska,Real personal income (millions of constant (2017) dollars) 2,2019,41797.3
Alaska,Real personal income (millions of constant (2017) dollars) 2,2020,42899.4
Alaska,Real personal income (millions of constant (2017) dollars) 2,2021,42305.5
Alaska,Real personal income (millions of constant (2017) dollars) 2,2022,42598.6
Alaska,Real PCE (millions of constant (2017) dollars) 3,2016,33216.1
Alaska,Real PCE (millions of constant (2017) dollars) 3,2017,33306.8
Alaska,Real PCE (millions of constant (2017) dollars) 3,2018,33814.2
Alaska,Real PCE (millions of constant (2017) dollars) 3,2019,34535.9
Alaska,Real PCE (millions of constant (2017) dollars) 3,2020,33013.4
Alaska,Real PCE (millions of constant (2017) dollars) 3,2021,34702.3
Alaska,Real PCE (millions of constant (2017) dollars) 3,2022,36681.6
Alaska,Current dollar statistics (millions of dollars),2016,NA
Alaska,Current dollar statistics (millions of dollars),2017,NA
Alaska,Current dollar statistics (millions of dollars),2018,NA
Alaska,Current dollar statistics (millions of dollars),2019,NA
Alaska,Current dollar statistics (millions of dollars),2020,NA
Alaska,Current dollar statistics (millions of dollars),2021,NA
Alaska,Current dollar statistics (millions of dollars),2022,NA
Alaska,Gross domestic product (GDP),2016,NA
Alaska,Gross domestic product (GDP),2017,53550.9
Alaska,Gross domestic product (GDP),2018,54762
Alaska,Gross domestic product (GDP),2019,54469.9
Alaska,Gross domestic product (GDP),2020,51261.5
Alaska,Gross domestic product (GDP),2021,58646
Alaska,Gross domestic product (GDP),2022,65698.8
Alaska,Personal income,2016,41285.5
Alaska,Personal income,2017,41919.4
Alaska,Personal income,2018,43522.7
Alaska,Personal income,2019,44507.6
Alaska,Personal income,2020,45366.3
Alaska,Personal income,2021,48207.9
Alaska,Personal income,2022,50349.7
Alaska,Disposable personal income,2016,37704.1
Alaska,Disposable personal income,2017,38525.4
Alaska,Disposable personal income,2018,40309.8
Alaska,Disposable personal income,2019,41045.3
Alaska,Disposable personal income,2020,42025.7
Alaska,Disposable personal income,2021,44143.4
Alaska,Disposable personal income,2022,45685.6
Alaska,Personal consumption expenditures,2016,33976.4
Alaska,Personal consumption expenditures,2017,34926.8
Alaska,Personal consumption expenditures,2018,36077.1
Alaska,Personal consumption expenditures,2019,36844.1
Alaska,Personal consumption expenditures,2020,35006
Alaska,Personal consumption expenditures,2021,39632.5
Alaska,Personal consumption expenditures,2022,43412.8
Alaska,Real per capita dollar statistics (constant 2017 dollars),2016,NA
Alaska,Real per capita dollar statistics (constant 2017 dollars),2017,NA
Alaska,Real per capita dollar statistics (constant 2017 dollars),2018,NA
Alaska,Real per capita dollar statistics (constant 2017 dollars),2019,NA
Alaska,Real per capita dollar statistics (constant 2017 dollars),2020,NA
Alaska,Real per capita dollar statistics (constant 2017 dollars),2021,NA
Alaska,Real per capita dollar statistics (constant 2017 dollars),2022,NA
Alaska,Real per capita personal income 4,2016,54409
Alaska,Real per capita personal income 4,2017,54005
Alaska,Real per capita personal income 4,2018,55410
Alaska,Real per capita personal income 4,2019,56881
Alaska,Real per capita personal income 4,2020,58532
Alaska,Real per capita personal income 4,2021,57623
Alaska,Real per capita personal income 4,2022,58069
Alaska,Real per capita PCE 5,2016,44681
Alaska,Real per capita PCE 5,2017,44891
Alaska,Real per capita PCE 5,2018,45836
Alaska,Real per capita PCE 5,2019,46999
Alaska,Real per capita PCE 5,2020,45044
Alaska,Real per capita PCE 5,2021,47267
Alaska,Real per capita PCE 5,2022,50003
Alaska,Per capita current dollar statistics,2016,NA
Alaska,Per capita current dollar statistics,2017,NA
Alaska,Per capita current dollar statistics,2018,NA
Alaska,Per capita current dollar statistics,2019,NA
Alaska,Per capita current dollar statistics,2020,NA
Alaska,Per capita current dollar statistics,2021,NA
Alaska,Per capita current dollar statistics,2022,NA
Alaska,Per capita personal income 6,2016,55535
Alaska,Per capita personal income 6,2017,56499
Alaska,Per capita personal income 6,2018,58997
Alaska,Per capita personal income 6,2019,60569
Alaska,Per capita personal income 6,2020,61898
Alaska,Per capita personal income 6,2021,65662
Alaska,Per capita personal income 6,2022,68635
Alaska,Per capita disposable personal income 7,2016,50718
Alaska,Per capita disposable personal income 7,2017,51925
Alaska,Per capita disposable personal income 7,2018,54641
Alaska,Per capita disposable personal income 7,2019,55857
Alaska,Per capita disposable personal income 7,2020,57340
Alaska,Per capita disposable personal income 7,2021,60126
Alaska,Per capita disposable personal income 7,2022,62277
Alaska,Per capita personal consumption expenditures (PCE) 8,2016,45703
Alaska,Per capita personal consumption expenditures (PCE) 8,2017,47074
Alaska,Per capita personal consumption expenditures (PCE) 8,2018,48904
Alaska,Per capita personal consumption expenditures (PCE) 8,2019,50140
Alaska,Per capita personal consumption expenditures (PCE) 8,2020,47762
Alaska,Per capita personal consumption expenditures (PCE) 8,2021,53982
Alaska,Per capita personal consumption expenditures (PCE) 8,2022,59179
Alaska,Price indexes,2016,NA
Alaska,Price indexes,2017,NA
Alaska,Price indexes,2018,NA
Alaska,Price indexes,2019,NA
Alaska,Price indexes,2020,NA
Alaska,Price indexes,2021,NA
Alaska,Price indexes,2022,NA
Alaska,Regional price parities (RPPs) 9,2016,104.075
Alaska,Regional price parities (RPPs) 9,2017,104.864
Alaska,Regional price parities (RPPs) 9,2018,104.552
Alaska,Regional price parities (RPPs) 9,2019,103.063
Alaska,Regional price parities (RPPs) 9,2020,101.339
Alaska,Regional price parities (RPPs) 9,2021,104.776
Alaska,Regional price parities (RPPs) 9,2022,101.989
Alaska,Implicit regional price deflator 10,2016,102.289
Alaska,Implicit regional price deflator 10,2017,104.864
Alaska,Implicit regional price deflator 10,2018,106.692
Alaska,Implicit regional price deflator 10,2019,106.683
Alaska,Implicit regional price deflator 10,2020,106.035
Alaska,Implicit regional price deflator 10,2021,114.207
Alaska,Implicit regional price deflator 10,2022,118.35
Alaska,Employment,2016,NA
Alaska,Employment,2017,NA
Alaska,Employment,2018,NA
Alaska,Employment,2019,NA
Alaska,Employment,2020,NA
Alaska,Employment,2021,NA
Alaska,Employment,2022,NA
Alaska,Total employment (number of jobs),2016,457142
Alaska,Total employment (number of jobs),2017,455550
Alaska,Total employment (number of jobs),2018,454776
Alaska,Total employment (number of jobs),2019,454743
Alaska,Total employment (number of jobs),2020,430840
Alaska,Total employment (number of jobs),2021,443047
Alaska,Total employment (number of jobs),2022,457687
Arizona,Real dollar statistics,2016,NA
Arizona,Real dollar statistics,2017,NA
Arizona,Real dollar statistics,2018,NA
Arizona,Real dollar statistics,2019,NA
Arizona,Real dollar statistics,2020,NA
Arizona,Real dollar statistics,2021,NA
Arizona,Real dollar statistics,2022,NA
Arizona,Real GDP (millions of chained 2017 dollars) 1,2016,NA
Arizona,Real GDP (millions of chained 2017 dollars) 1,2017,333099
Arizona,Real GDP (millions of chained 2017 dollars) 1,2018,346398.3
Arizona,Real GDP (millions of chained 2017 dollars) 1,2019,359645.7
Arizona,Real GDP (millions of chained 2017 dollars) 1,2020,362603.5
Arizona,Real GDP (millions of chained 2017 dollars) 1,2021,390805.2
Arizona,Real GDP (millions of chained 2017 dollars) 1,2022,403474.2
Arizona,Real personal income (millions of constant (2017) dollars) 2,2016,289273.8
Arizona,Real personal income (millions of constant (2017) dollars) 2,2017,304434.3
Arizona,Real personal income (millions of constant (2017) dollars) 2,2018,318218.3
Arizona,Real personal income (millions of constant (2017) dollars) 2,2019,333861.1
Arizona,Real personal income (millions of constant (2017) dollars) 2,2020,361547.7
Arizona,Real personal income (millions of constant (2017) dollars) 2,2021,390081.8
Arizona,Real personal income (millions of constant (2017) dollars) 2,2022,371495.4
Arizona,Real PCE (millions of constant (2017) dollars) 3,2016,251483.4
Arizona,Real PCE (millions of constant (2017) dollars) 3,2017,264659.3
Arizona,Real PCE (millions of constant (2017) dollars) 3,2018,275644.2
Arizona,Real PCE (millions of constant (2017) dollars) 3,2019,283110.4
Arizona,Real PCE (millions of constant (2017) dollars) 3,2020,280843.9
Arizona,Real PCE (millions of constant (2017) dollars) 3,2021,317485.5
Arizona,Real PCE (millions of constant (2017) dollars) 3,2022,318200.7
Arizona,Current dollar statistics (millions of dollars),2016,NA
Arizona,Current dollar statistics (millions of dollars),2017,NA
Arizona,Current dollar statistics (millions of dollars),2018,NA
Arizona,Current dollar statistics (millions of dollars),2019,NA
Arizona,Current dollar statistics (millions of dollars),2020,NA
Arizona,Current dollar statistics (millions of dollars),2021,NA
Arizona,Current dollar statistics (millions of dollars),2022,NA
Arizona,Gross domestic product (GDP),2016,NA
Arizona,Gross domestic product (GDP),2017,333099
Arizona,Gross domestic product (GDP),2018,353671
Arizona,Gross domestic product (GDP),2019,375545
Arizona,Gross domestic product (GDP),2020,386443.5
Arizona,Gross domestic product (GDP),2021,432279.8
Arizona,Gross domestic product (GDP),2022,475653.7
Arizona,Personal income,2016,279696.7
Arizona,Personal income,2017,297261.5
Arizona,Personal income,2018,315459
Arizona,Personal income,2019,337214.1
Arizona,Personal income,2020,374311.8
Arizona,Personal income,2021,409885.7
Arizona,Personal income,2022,430083.5
Arizona,Disposable personal income,2016,250636.5
Arizona,Disposable personal income,2017,266666
Arizona,Disposable personal income,2018,283699.5
Arizona,Disposable personal income,2019,302159.1
Arizona,Disposable personal income,2020,337272.5
Arizona,Disposable personal income,2021,364326.7
Arizona,Disposable personal income,2022,377143.3
Arizona,Personal consumption expenditures,2016,243679.6
Arizona,Personal consumption expenditures,2017,259029.1
Arizona,Personal consumption expenditures,2018,273816.1
Arizona,Personal consumption expenditures,2019,286488.5
Arizona,Personal consumption expenditures,2020,291542.5
Arizona,Personal consumption expenditures,2021,334350.1
Arizona,Personal consumption expenditures,2022,368866.6
Arizona,Real per capita dollar statistics (constant 2017 dollars),2016,NA
Arizona,Real per capita dollar statistics (constant 2017 dollars),2017,NA
Arizona,Real per capita dollar statistics (constant 2017 dollars),2018,NA
Arizona,Real per capita dollar statistics (constant 2017 dollars),2019,NA
Arizona,Real per capita dollar statistics (constant 2017 dollars),2020,NA
Arizona,Real per capita dollar statistics (constant 2017 dollars),2021,NA
Arizona,Real per capita dollar statistics (constant 2017 dollars),2022,NA
Arizona,Real per capita personal income 4,2016,42530
Arizona,Real per capita personal income 4,2017,44250
Arizona,Real per capita personal income 4,2018,45656
Arizona,Real per capita personal income 4,2019,47219
Arizona,Real per capita personal income 4,2020,50355
Arizona,Real per capita personal income 4,2021,53694
Arizona,Real per capita personal income 4,2022,50480
Arizona,Real per capita PCE 5,2016,36974
Arizona,Real per capita PCE 5,2017,38469
Arizona,Real per capita PCE 5,2018,39548
Arizona,Real per capita PCE 5,2019,40041
Arizona,Real per capita PCE 5,2020,39115
Arizona,Real per capita PCE 5,2021,43701
Arizona,Real per capita PCE 5,2022,43239
Arizona,Per capita current dollar statistics,2016,NA
Arizona,Per capita current dollar statistics,2017,NA
Arizona,Per capita current dollar statistics,2018,NA
Arizona,Per capita current dollar statistics,2019,NA
Arizona,Per capita current dollar statistics,2020,NA
Arizona,Per capita current dollar statistics,2021,NA
Arizona,Per capita current dollar statistics,2022,NA
Arizona,Per capita personal income 6,2016,41122
Arizona,Per capita personal income 6,2017,43208
Arizona,Per capita personal income 6,2018,45260
Arizona,Per capita personal income 6,2019,47693
Arizona,Per capita personal income 6,2020,52133
Arizona,Per capita personal income 6,2021,56420
Arizona,Per capita personal income 6,2022,58442
Arizona,Per capita disposable personal income 7,2016,36850
Arizona,Per capita disposable personal income 7,2017,38761
Arizona,Per capita disposable personal income 7,2018,40703
Arizona,Per capita disposable personal income 7,2019,42735
Arizona,Per capita disposable personal income 7,2020,46974
Arizona,Per capita disposable personal income 7,2021,50149
Arizona,Per capita disposable personal income 7,2022,51248
Arizona,Per capita personal consumption expenditures (PCE) 8,2016,35827
Arizona,Per capita personal consumption expenditures (PCE) 8,2017,37651
Arizona,Per capita personal consumption expenditures (PCE) 8,2018,39285
Arizona,Per capita personal consumption expenditures (PCE) 8,2019,40519
Arizona,Per capita personal consumption expenditures (PCE) 8,2020,40605
Arizona,Per capita personal consumption expenditures (PCE) 8,2021,46023
Arizona,Per capita personal consumption expenditures (PCE) 8,2022,50123
Arizona,Price indexes,2016,NA
Arizona,Price indexes,2017,NA
Arizona,Price indexes,2018,NA
Arizona,Price indexes,2019,NA
Arizona,Price indexes,2020,NA
Arizona,Price indexes,2021,NA
Arizona,Price indexes,2022,NA
Arizona,Regional price parities (RPPs) 9,2016,98.588
Arizona,Regional price parities (RPPs) 9,2017,97.873
Arizona,Regional price parities (RPPs) 9,2018,97.344
Arizona,Regional price parities (RPPs) 9,2019,97.759
Arizona,Regional price parities (RPPs) 9,2020,99.211
Arizona,Regional price parities (RPPs) 9,2021,96.615
Arizona,Regional price parities (RPPs) 9,2022,99.897
Arizona,Implicit regional price deflator 10,2016,96.897
Arizona,Implicit regional price deflator 10,2017,97.873
Arizona,Implicit regional price deflator 10,2018,99.337
Arizona,Implicit regional price deflator 10,2019,101.193
Arizona,Implicit regional price deflator 10,2020,103.809
Arizona,Implicit regional price deflator 10,2021,105.312
Arizona,Implicit regional price deflator 10,2022,115.923
Arizona,Employment,2016,NA
Arizona,Employment,2017,NA
Arizona,Employment,2018,NA
Arizona,Employment,2019,NA
Arizona,Employment,2020,NA
Arizona,Employment,2021,NA
Arizona,Employment,2022,NA
Arizona,Total employment (number of jobs),2016,3644791
Arizona,Total employment (number of jobs),2017,3740747
Arizona,Total employment (number of jobs),2018,3854741
Arizona,Total employment (number of jobs),2019,3929945
Arizona,Total employment (number of jobs),2020,3920033
Arizona,Total employment (number of jobs),2021,4086802
Arizona,Total employment (number of jobs),2022,4287595
Arkansas,Real dollar statistics,2016,NA
Arkansas,Real dollar statistics,2017,NA
Arkansas,Real dollar statistics,2018,NA
Arkansas,Real dollar statistics,2019,NA
Arkansas,Real dollar statistics,2020,NA
Arkansas,Real dollar statistics,2021,NA
Arkansas,Real dollar statistics,2022,NA
Arkansas,Real GDP (millions of chained 2017 dollars) 1,2016,NA
Arkansas,Real GDP (millions of chained 2017 dollars) 1,2017,123882.6
Arkansas,Real GDP (millions of chained 2017 dollars) 1,2018,126371.2
Arkansas,Real GDP (millions of chained 2017 dollars) 1,2019,127216
Arkansas,Real GDP (millions of chained 2017 dollars) 1,2020,128061.2
Arkansas,Real GDP (millions of chained 2017 dollars) 1,2021,135568.8
Arkansas,Real GDP (millions of chained 2017 dollars) 1,2022,137355.5
Arkansas,Real personal income (millions of constant (2017) dollars) 2,2016,136781.6
Arkansas,Real personal income (millions of constant (2017) dollars) 2,2017,140074.1
Arkansas,Real personal income (millions of constant (2017) dollars) 2,2018,145306.2
Arkansas,Real personal income (millions of constant (2017) dollars) 2,2019,145008.2
Arkansas,Real personal income (millions of constant (2017) dollars) 2,2020,154353.4
Arkansas,Real personal income (millions of constant (2017) dollars) 2,2021,161672
Arkansas,Real personal income (millions of constant (2017) dollars) 2,2022,159683.6
Arkansas,Real PCE (millions of constant (2017) dollars) 3,2016,108118.3
Arkansas,Real PCE (millions of constant (2017) dollars) 3,2017,110659.9
Arkansas,Real PCE (millions of constant (2017) dollars) 3,2018,115087.9
Arkansas,Real PCE (millions of constant (2017) dollars) 3,2019,114867.7
Arkansas,Real PCE (millions of constant (2017) dollars) 3,2020,114208
Arkansas,Real PCE (millions of constant (2017) dollars) 3,2021,122556.7
Arkansas,Real PCE (millions of constant (2017) dollars) 3,2022,128036.5
Arkansas,Current dollar statistics (millions of dollars),2016,NA
Arkansas,Current dollar statistics (millions of dollars),2017,NA
Arkansas,Current dollar statistics (millions of dollars),2018,NA
Arkansas,Current dollar statistics (millions of dollars),2019,NA
Arkansas,Current dollar statistics (millions of dollars),2020,NA
Arkansas,Current dollar statistics (millions of dollars),2021,NA
Arkansas,Current dollar statistics (millions of dollars),2022,NA
Arkansas,Gross domestic product (GDP),2016,NA
Arkansas,Gross domestic product (GDP),2017,123882.6
Arkansas,Gross domestic product (GDP),2018,129213.8
Arkansas,Gross domestic product (GDP),2019,132637.2
Arkansas,Gross domestic product (GDP),2020,135884.5
Arkansas,Gross domestic product (GDP),2021,151931.9
Arkansas,Gross domestic product (GDP),2022,165989.3
Arkansas,Personal income,2016,119758.8
Arkansas,Personal income,2017,123825.4
Arkansas,Personal income,2018,128970.8
Arkansas,Personal income,2019,131439.2
Arkansas,Personal income,2020,142111.7
Arkansas,Personal income,2021,156361.5
Arkansas,Personal income,2022,160254.2
Arkansas,Disposable personal income,2016,107887.7
Arkansas,Disposable personal income,2017,111671.5
Arkansas,Disposable personal income,2018,117322.8
Arkansas,Disposable personal income,2019,119309.6
Arkansas,Disposable personal income,2020,129589.1
Arkansas,Disposable personal income,2021,141244.9
Arkansas,Disposable personal income,2022,142906.9
Arkansas,Personal consumption expenditures,2016,94866.1
Arkansas,Personal consumption expenditures,2017,98052.5
Arkansas,Personal consumption expenditures,2018,102359.8
Arkansas,Personal consumption expenditures,2019,104313.8
Arkansas,Personal consumption expenditures,2020,105433.5
Arkansas,Personal consumption expenditures,2021,118796.2
Arkansas,Personal consumption expenditures,2022,128662.4
Arkansas,Real per capita dollar statistics (constant 2017 dollars),2016,NA
Arkansas,Real per capita dollar statistics (constant 2017 dollars),2017,NA
Arkansas,Real per capita dollar statistics (constant 2017 dollars),2018,NA
Arkansas,Real per capita dollar statistics (constant 2017 dollars),2019,NA
Arkansas,Real per capita dollar statistics (constant 2017 dollars),2020,NA
Arkansas,Real per capita dollar statistics (constant 2017 dollars),2021,NA
Arkansas,Real per capita dollar statistics (constant 2017 dollars),2022,NA
Arkansas,Real per capita personal income 4,2016,45891
Arkansas,Real per capita personal income 4,2017,46835
Arkansas,Real per capita personal income 4,2018,48479
Arkansas,Real per capita personal income 4,2019,48268
Arkansas,Real per capita personal income 4,2020,51209
Arkansas,Real per capita personal income 4,2021,53390
Arkansas,Real per capita personal income 4,2022,52430
Arkansas,Real per capita PCE 5,2016,36274
Arkansas,Real per capita PCE 5,2017,37000
Arkansas,Real per capita PCE 5,2018,38398
Arkansas,Real per capita PCE 5,2019,38235
Arkansas,Real per capita PCE 5,2020,37890
Arkansas,Real per capita PCE 5,2021,40473
Arkansas,Real per capita PCE 5,2022,42039
Arkansas,Per capita current dollar statistics,2016,NA
Arkansas,Per capita current dollar statistics,2017,NA
Arkansas,Per capita current dollar statistics,2018,NA
Arkansas,Per capita current dollar statistics,2019,NA
Arkansas,Per capita current dollar statistics,2020,NA
Arkansas,Per capita current dollar statistics,2021,NA
Arkansas,Per capita current dollar statistics,2022,NA
Arkansas,Per capita personal income 6,2016,40179
Arkansas,Per capita personal income 6,2017,41402
Arkansas,Per capita personal income 6,2018,43029
Arkansas,Per capita personal income 6,2019,43751
Arkansas,Per capita personal income 6,2020,47147
Arkansas,Per capita personal income 6,2021,51636
Arkansas,Per capita personal income 6,2022,52618
Arkansas,Per capita disposable personal income 7,2016,36197
Arkansas,Per capita disposable personal income 7,2017,37338
Arkansas,Per capita disposable personal income 7,2018,39143
Arkansas,Per capita disposable personal income 7,2019,39714
Arkansas,Per capita disposable personal income 7,2020,42993
Arkansas,Per capita disposable personal income 7,2021,46644
Arkansas,Per capita disposable personal income 7,2022,46922
Arkansas,Per capita personal consumption expenditures (PCE) 8,2016,31828
Arkansas,Per capita personal consumption expenditures (PCE) 8,2017,32785
Arkansas,Per capita personal consumption expenditures (PCE) 8,2018,34151
Arkansas,Per capita personal consumption expenditures (PCE) 8,2019,34722
Arkansas,Per capita personal consumption expenditures (PCE) 8,2020,34979
Arkansas,Per capita personal consumption expenditures (PCE) 8,2021,39231
