"SASUMMARY State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment"
"SASUMMARY State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment"
State or DC
GeoFips,GeoName,LineCode,Description,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
01000,Alabama,5,"  Personal income",99772.9,103204.1,108002.9,111894.1,115007.7,120241.0,128606.3,136087.5,144719.0,151942.6,157780.3,155666.9,162068.8,167882.2,172101.5,173720.7,179487.1,187474.7,190871.8,197963.8,205674.2,215165.8,230872.6,252791.9,258362.2
01000,Alabama,6,"  Disposable personal income",88548.4,91473.6,95839.8,99375.0,103906.5,109568.8,117627.3,123206.1,130008.0,136204.2,141827.1,143231.0,148862.1,152835.4,157273.8,157600.0,162978.1,169520.5,172173.6,179134.7,187334.2,195208.0,210513.8,228206.2,229599.5
01000,Alabama,7,"  Personal consumption expenditures",80320.5,84866.0,89748.7,93232.7,97220.1,102106.6,108428.7,115631.1,121487.4,126916.4,130009.5,128265.5,132314.4,136772.4,139950.6,143956.7,148385.6,152790.5,157806.1,163523.4,169460.2,176843.5,175481.9,197820.2,215104.6
01000,Alabama,,Real per capita dollar statistics (constant 2017 dollars),,,,,,,,,,,,,,,,,,,,,,,,,
01000,Alabama,8,"  Real per capita personal income 4",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),42242,41995,41757,41849,41617,41356,42010,43835,43577,44472,46441,47123,50207,52290,50053
01000,Alabama,9,"  Real per capita PCE 5",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),34779,34559,34044,34046,33798,34227,34686,35665,35951,36649,38186,38658,38059,40827,41618
01000,Alabama,,Per capita current dollar statistics,,,,,,,,,,,,,,,,,,,,,,,,,
01000,Alabama,10,"  Per capita personal income 6",22651,23296,24258,25046,25671,26700,28385,29780,31264,32516,33441,32717,33849,34887,35564,35713,36729,38197,38712,39975,41330,43004,45887,50059,50916
01000,Alabama,11,"  Per capita disposable personal income 7",20103,20648,21527,22243,23193,24330,25962,26961,28086,29148,30060,30104,31091,31760,32500,32399,33351,34538,34919,36173,37645,39015,41840,45191,45248
01000,Alabama,12,"  Per capita personal consumption expenditures (PCE) 8",18235,19157,20158,20868,21700,22673,23932,25303,26245,27160,27555,26958,27635,28422,28920,29594,30365,31130,32005,33020,34053,35345,34878,39174,42391
01000,Alabama,,Price indexes,,,,,,,,,,,,,,,,,,,,,,,,,
01000,Alabama,13,"  Regional price parities (RPPs) 9",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),88.852,87.725,89.682,89.955,90.515,90.273,90.137,89.706,90.580,90.098,87.388,88.326,87.581,88.026,87.776
01000,Alabama,14,"  Implicit regional price deflator 10",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),79.229,78.006,81.174,83.482,85.568,86.464,87.542,87.284,89.026,90.098,89.177,91.429,91.641,95.949,101.857
01000,Alabama,,Employment,,,,,,,,,,,,,,,,,,,,,,,,,
01000,Alabama,15,"  Total employment (number of jobs)",2361892,2378217,2392225,2376053,2364829,2371429,2425650,2486829,2545547,2604108,2582600,2479511,2460305,2497974,2503656,2523020,2552256,2587641,2619761,2649222,2692424,2712086,2671005,2769464,2869931
02000,Alaska,,Real dollar statistics,,,,,,,,,,,,,,,,,,,,,,,,,
02000,Alaska,1,"  Real GDP (millions of chained 2017 dollars) 1",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),53550.9,52479.6,52325.3,50344.6,51021.8,50315.1
02000,Alaska,2,"  Real personal income (millions of constant (2017) dollars) 2",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),35489.4,34976.6,37928.9,39548.5,40261.6,39493.9,40913.7,41763.3,40448.3,40068.6,40876.8,41797.3,42899.4,42305.5,42598.6
02000,Alaska,3,"  Real PCE (millions of constant (2017) dollars) 3",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),28865.5,28761.4,30555.8,31230.3,32002.7,32394.9,32817.5,33095.6,33216.1,33306.8,33814.2,34535.9,33013.4,34702.3,36681.6
02000,Alaska,,Current dollar statistics (millions of dollars),,,,,,,,,,,,,,,,,,,,,,,,,
02000,Alaska,4,"  Gross domestic product (GDP)",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),53550.9,54762.0,54469.9,51261.5,58646.0,65698.8
02000,Alaska,5,"  Personal income",18155.9,18706.6,20092.2,21287.1,22331.5,23372.1,24429.2,26019.6,27696.2,29761.3,32860.7,32995.4,35374.3,37870.6,38997.1,38565.1,40642.1,41918.6,41285.5,41919.4,43522.7,44507.6,45366.3,48207.9,50349.7
02000,Alaska,6,"  Disposable personal income",16187.6,16719.1,17933.0,18968.7,20293.0,21450.3,22543.5,23868.0,25276.3,26972.1,29693.1,30530.9,32703.9,34789.2,35945.3,35184.4,37075.5,38075.3,37704.1,38525.4,40309.8,41045.3,42025.7,44143.4,45685.6
02000,Alaska,7,"  Personal consumption expenditures",14946.5,15883.5,17107.7,18123.5,19432.2,20557.2,21847.5,23354.8,24275.1,25617.0,26749.3,27166.7,28537.5,29947.6,31039.1,31673.2,32641.4,33274.4,33976.4,34926.8,36077.1,36844.1,35006.0,39632.5,43412.8
02000,Alaska,,Real per capita dollar statistics (constant 2017 dollars),,,,,,,,,,,,,,,,,,,,,,,,,
02000,Alaska,8,"  Real per capita personal income 4",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),51624,50046,53121,54738,55069,53511,55466,56504,54409,54005,55410,56881,58532,57623,58069
02000,Alaska,9,"  Real per capita PCE 5",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),41989,41153,42794,43225,43773,43892,44490,44777,44681,44891,45836,46999,45044,47267,50003
02000,Alaska,,Per capita current dollar statistics,,,,,,,,,,,,,,,,,,,,,,,,,
02000,Alaska,10,"  Per capita personal income 6",29287,29941,31996,33591,34766,36045,37054,39013,41013,43747,47800,47211,49543,52415,53340,52252,55098,56714,55535,56499,58997,60569,61898,65662,68635
02000,Alaska,11,"  Per capita disposable personal income 7",26112,26760,28557,29933,31592,33081,34194,35787,37430,39647,43193,43684,45803,48150,49166,47672,50262,51514,50718,51925,54641,55857,57340,60126,62277
02000,Alaska,12,"  Per capita personal consumption expenditures (PCE) 8",24110,25423,27243,28599,30252,31704,33138,35017,35947,37656,38911,38871,39968,41449,42455,42914,44251,45018,45703,47074,48904,50140,47762,53982,59179
02000,Alaska,,Price indexes,,,,,,,,,,,,,,,,,,,,,,,,,
02000,Alaska,13,"  Regional price parities (RPPs) 9",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),103.924,106.224,103.183,103.328,102.597,102.079,102.412,103.331,104.075,104.864,104.552,103.063,101.339,104.776,101.989
02000,Alaska,14,"  Implicit regional price deflator 10",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),92.669,94.455,93.395,95.893,96.989,97.772,99.463,100.540,102.289,104.864,106.692,106.683,106.035,114.207,118.350
02000,Alaska,,Employment,,,,,,,,,,,,,,,,,,,,,,,,,
02000,Alaska,15,"  Total employment (number of jobs)",382166,381307,389734,394565,402192,405625,413869,421422,431321,439844,443602,442505,443940,450420,459282,461205,461371,461707,457142,455550,454776,454743,430840,443047,457687
04000,Arizona,,Real dollar statistics,,,,,,,,,,,,,,,,,,,,,,,,,
04000,Arizona,1,"  Real GDP (millions of chained 2017 dollars) 1",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),333099.0,346398.3,359645.7,362603.5,390805.2,403474.2
04000,Arizona,2,"  Real personal income (millions of constant (2017) dollars) 2",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),244724.1,232419.1,237914.3,247442.2,255433.5,257087.1,267086.1,281347.5,289273.8,304434.3,318218.3,333861.1,361547.7,390081.8,371495.4
04000,Arizona,3,"  Real PCE (millions of constant (2017) dollars) 3",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),216145.7,208707.6,215882.4,221402.7,226505.7,230026.9,237768.6,246519.2,251483.4,264659.3,275644.2,283110.4,280843.9,317485.5,318200.7
04000,Arizona,,Current dollar statistics (millions of dollars),,,,,,,,,,,,,,,,,,,,,,,,,
04000,Arizona,4,"  Gross domestic product (GDP)",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),333099.0,353671.0,375545.0,386443.5,432279.8,475653.7
04000,Arizona,5,"  Personal income",117835.0,124922.3,135573.8,142097.8,147455.2,156408.8,170443.0,187724.9,207762.6,219579.1,223495.1,212283.6,216223.6,227203.3,236431.4,242030.3,253711.6,267474.1,279696.7,297261.5,315459.0,337214.1,374311.8,409885.7,430083.5
04000,Arizona,6,"  Disposable personal income",103265.8,109324.1,118337.5,124820.6,132597.0,141828.8,154311.8,167738.1,184940.1,195625.4,201198.3,195955.8,198815.2,206128.2,214865.8,218160.9,228628.0,239543.4,250636.5,266666.0,283699.5,302159.1,337272.5,364326.7,377143.3
04000,Arizona,7,"  Personal consumption expenditures",103774.8,111890.9,121418.9,127277.9,133667.9,142860.7,155367.0,170011.9,184063.5,194363.4,197557.7,190868.2,196474.0,203580.7,209936.3,216830.0,226151.5,234755.7,243679.6,259029.1,273816.1,286488.5,291542.5,334350.1,368866.6
04000,Arizona,,Real per capita dollar statistics (constant 2017 dollars),,,,,,,,,,,,,,,,,,,,,,,,,
04000,Arizona,8,"  Real per capita personal income 4",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),38967,36641,37162,38384,39253,39171,40235,41903,42530,44250,45656,47219,50355,53694,50480
04000,Arizona,9,"  Real per capita PCE 5",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),34416,32903,33721,34344,34808,35048,35818,36715,36974,38469,39548,40041,39115,43701,43239
04000,Arizona,,Per capita current dollar statistics,,,,,,,,,,,,,,,,,,,,,,,,,
04000,Arizona,10,"  Per capita personal income 6",24130,24866,26271,26946,27325,28384,30154,32150,34460,35602,35586,33467,33774,35244,36333,36877,38220,39836,41122,43208,45260,47693,52133,56420,58442
04000,Arizona,11,"  Per capita disposable personal income 7",21147,21761,22931,23670,24572,25739,27300,28727,30674,31718,32036,30892,31055,31975,33019,33240,34441,35676,36850,38761,40703,42735,46974,50149,51248
04000,Arizona,12,"  Per capita personal consumption expenditures (PCE) 8",21251,22272,23528,24135,24770,25926,27487,29116,30529,31513,31456,30090,30689,31580,32261,33037,34068,34963,35827,37651,39285,40519,40605,46023,50123
04000,Arizona,,Price indexes,,,,,,,,,,,,,,,,,,,,,,,,,
04000,Arizona,13,"  Regional price parities (RPPs) 9",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),102.501,102.847,100.548,99.081,98.044,98.415,97.934,97.871,98.588,97.873,97.344,97.759,99.211,96.615,99.897
04000,Arizona,14,"  Implicit regional price deflator 10",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),91.400,91.452,91.010,91.950,92.685,94.263,95.114,95.228,96.897,97.873,99.337,101.193,103.809,105.312,115.923
04000,Arizona,,Employment,,,,,,,,,,,,,,,,,,,,,,,,,
04000,Arizona,15,"  Total employment (number of jobs)",2616288,2695892,2801510,2829002,2847070,2917095,3041449,3219799,3375196,3465065,3402806,3228516,3181563,3239037,3295532,3371101,3448146,3547647,3644791,3740747,3854741,3929945,3920033,4086802,4287595
05000,Arkansas,,Real dollar statistics,,,,,,,,,,,,,,,,,,,,,,,,,
05000,Arkansas,1,"  Real GDP (millions of chained 2017 dollars) 1",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),123882.6,126371.2,127216.0,128061.2,135568.8,137355.5
05000,Arkansas,2,"  Real personal income (millions of constant (2017) dollars) 2",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),117807.7,118683.5,117680.3,121331.4,126850.0,125299.8,130572.4,134940.8,136781.6,140074.1,145306.2,145008.2,154353.4,161672.0,159683.6
05000,Arkansas,3,"  Real PCE (millions of constant (2017) dollars) 3",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),95712.4,97029.3,96705.8,97691.8,98540.8,99397.4,102073.7,105531.4,108118.3,110659.9,115087.9,114867.7,114208.0,122556.7,128036.5
05000,Arkansas,,Current dollar statistics (millions of dollars),,,,,,,,,,,,,,,,,,,,,,,,,
05000,Arkansas,4,"  Gross domestic product (GDP)",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),123882.6,129213.8,132637.2,135884.5,151931.9,165989.3
05000,Arkansas,5,"  Personal income",55686.3,57922.1,60886.2,64168.6,65698.8,69656.4,74308.7,77990.4,82891.6,88410.7,92435.6,90992.3,94127.0,100449.5,107007.4,107209.3,113171.5,116632.4,119758.8,123825.4,128970.8,131439.2,142111.7,156361.5,160254.2
05000,Arkansas,6,"  Disposable personal income",49470.1,51534.9,54020.7,57065.8,59393.7,63652.8,68042.8,70833.0,75056.5,79532.9,83120.6,83435.7,86387.0,91406.0,97557.8,96883.6,102362.7,105216.0,107887.7,111671.5,117322.8,119309.6,129589.1,141244.9,142906.9
05000,Arkansas,7,"  Personal consumption expenditures",44283.3,47305.5,50566.1,52796.3,54843.4,57788.1,61297.4,65560.6,69198.3,72561.3,75160.6,74484.9,77458.3,80992.6,83237.7,85154.6,88584.1,91366.0,94866.1,98052.5,102359.8,104313.8,105433.5,118796.2,128662.4
05000,Arkansas,,Real per capita dollar statistics (constant 2017 dollars),,,,,,,,,,,,,,,,,,,,,,,,,
05000,Arkansas,8,"  Real per capita personal income 4",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),40983,40970,40280,41286,43016,42407,44095,45429,45891,46835,48479,48268,51209,53390,52430
05000,Arkansas,9,"  Real per capita PCE 5",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),33296,33495,33101,33242,33416,33641,34470,35528,36274,37000,38398,38235,37890,40473,42039
05000,Arkansas,,Per capita current dollar statistics,,,,,,,,,,,,,,,,,,,,,,,,,
05000,Arkansas,10,"  Per capita personal income 6",21203,21842,22731,23841,24280,25564,27024,28043,29376,31036,32157,31411,32218,34180,36287,36285,38218,39266,40179,41402,43029,43751,47147,51636,52618
05000,Arkansas,11,"  Per capita disposable personal income 7",18836,19433,20168,21202,21949,23360,24746,25469,26599,27920,28916,28802,29569,31103,33083,32790,34568,35422,36197,37338,39143,39714,42993,46644,46922
05000,Arkansas,12,"  Per capita personal consumption expenditures (PCE) 8",16862,17839,18878,19615,20268,21208,22293,23574,24523,25472,26147,25712,26513,27559,28227,28820,29915,30759,31828,32785,34151,34722,34979,39231,42245
05000,Arkansas,,Price indexes,,,,,,,,,,,,,,,,,,,,,,,,,
05000,Arkansas,13,"  Regional price parities (RPPs) 9",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),88.065,86.330,88.492,89.335,89.354,89.445,89.357,88.980,89.275,88.607,87.156,87.730,88.228,88.927,86.597
05000,Arkansas,14,"  Implicit regional price deflator 10",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),78.528,76.765,80.097,82.906,84.470,85.671,86.784,86.577,87.743,88.607,88.941,90.812,92.317,96.932,100.489
05000,Arkansas,,Employment,,,,,,,,,,,,,,,,,,,,,,,,,
05000,Arkansas,15,"  Total employment (number of jobs)",1445536,1460374,1482449,1482587,1478920,1482026,1505086,1537671,1567665,1582826,1579250,1542904,1541250,1561929,1565109,1569358,1587408,1610799,1629734,1639903,1658212,1663920,1639829,1686444,1755536
06000,California,,Real dollar statistics,,,,,,,,,,,,,,,,,,,,,,,,,
06000,California,1,"  Real GDP (millions of chained 2017 dollars) 1",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),2740550.3,2850970.3,2962792.1,2925146.9,3146185.3,3167460.8
06000,California,2,"  Real personal income (millions of constant (2017) dollars) 2",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),1603306.0,1567285.7,1624234.9,1688931.8,1753099.3,1755250.2,1834858.3,1951176.5,2033539.5,2073859.0,2114414.8,2211331.7,2370532.3,2476630.0,2306733.7
06000,California,3,"  Real PCE (millions of constant (2017) dollars) 3",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),1306204.6,1274423.7,1307631.2,1333097.2,1359471.1,1384534.2,1426319.2,1482241.1,1542765.3,1579558.4,1624412.0,1685455.7,1610289.5,1760081.3,1802396.4
06000,California,,Current dollar statistics (millions of dollars),,,,,,,,,,,,,,,,,,,,,,,,,
06000,California,4,"  Gross domestic product (GDP)",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),2740550.3,2899530.9,3062158.9,3068809.4,3416939.4,3641643.4
06000,California,5,"  Personal income",953360.5,1022682.7,1127550.1,1169366.4,1187280.9,1240604.2,1315172.2,1387883.8,1493217.0,1561307.2,1588294.5,1539818.7,1609997.5,1713428.0,1814763.0,1840885.3,1955718.0,2097049.6,2191138.0,2295048.7,2411055.1,2537950.6,2767521.4,3013676.9,3006647.3
06000,California,6,"  Disposable personal income",816872.5,863253.7,932100.4,988772.1,1040694.4,1098063.6,1164414.7,1209975.6,1295546.9,1346007.1,1376342.8,1378288.7,1431825.6,1504645.4,1590509.7,1587112.7,1679406.9,1786764.4,1871763.1,1961488.7,2057748.6,2169277.3,2368785.6,2520230.0,2464043.4
06000,California,7,"  Personal consumption expenditures",722322.0,776324.7,844374.3,886833.1,924960.4,975445.5,1041764.2,1114921.0,1186034.5,1256410.5,1295036.3,1253678.5,1297976.1,1354341.6,1409173.4,1453927.1,1522216.3,1595724.1,1665899.0,1752123.2,1856117.3,1938018.7,1885028.5,2146539.4,2352361.6
06000,California,,Real per capita dollar statistics (constant 2017 dollars),,,,,,,,,,,,,,,,,,,,,,,,,
06000,California,8,"  Real per capita personal income 4",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),43801,42404,43519,44858,46170,45839,47491,50074,51845,52604,53481,55915,60011,63271,59103
06000,California,9,"  Real per capita PCE 5",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),35684,34480,35036,35407,35803,36158,36917,38039,39333,40066,41087,42618,40765,44965,46181
06000,California,,Per capita current dollar statistics,,,,,,,,,,,,,,,,,,,,,,,,,
06000,California,10,"  Per capita personal income 6",28901,30529,33175,33915,34047,35191,36969,38737,41454,43070,43391,41660,43138,45509,47794,48076,50619,53817,55863,58214,60984,64174,70061,76991,77036
06000,California,11,"  Per capita disposable personal income 7",24763,25769,27424,28677,29843,31148,32732,33772,35966,37131,37601,37290,38364,39963,41888,41448,43467,45854,47721,49754,52048,54852,59967,64385,63133
06000,California,12,"  Per capita personal consumption expenditures (PCE) 8",21897,23174,24843,25721,26525,27670,29284,31119,32926,34659,35379,33919,34777,35971,37112,37970,39399,40952,42472,44443,46948,49004,47720,54838,60272
06000,California,,Price indexes,,,,,,,,,,,,,,,,,,,,,,,,,
06000,California,13,"  Regional price parities (RPPs) 9",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),111.187,110.629,109.665,109.472,109.649,109.638,109.887,110.644,109.866,110.925,111.972,111.082,111.876,111.886,112.470
06000,California,14,"  Implicit regional price deflator 10",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),99.145,98.372,99.262,101.594,103.656,105.012,106.723,107.656,107.981,110.925,114.264,114.985,117.061,121.957,130.513
06000,California,,Employment,,,,,,,,,,,,,,,,,,,,,,,,,
06000,California,15,"  Total employment (number of jobs)",18432865,18852334,19228895,19341458,19358251,19478732,19784214,20126936,20505244,20888508,20654365,19837727,19642544,19986185,20666919,21318697,21996861,22687175,23177961,23548874,24077466,24225068,23154091,23934549,25300974
08000,Colorado,,Real dollar statistics,,,,,,,,,,,,,,,,,,,,,,,,,
08000,Colorado,1,"  Real GDP (millions of chained 2017 dollars) 1",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),350209.1,365204.5,383596.0,380921.9,406961.5,416114.4
08000,Colorado,2,"  Real personal income (millions of constant (2017) dollars) 2",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),228236.2,220217.9,226621.4,233652.0,242375.6,251229.7,268506.2,279326.6,281611.3,295345.2,321261.3,331824.7,346297.8,373562.1,373023.8
